goos: linux
goarch: amd64
pkg: github.com/komuw/ong/internal/acme
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkGetCertificate/new-8         	  588379	      1810 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  566748	      2154 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  585451	      1998 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  522516	      1943 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  504513	      2356 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  523786	      2183 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  574341	      1964 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  568003	      1846 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  494418	      2275 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  547029	      1969 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  587580	      1968 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  538522	      1977 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  586580	      2065 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  547029	      2066 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  643440	      1884 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  663769	      2103 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  534298	      2099 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  650814	      1850 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  565898	      1871 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  604404	      1812 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  603310	      1777 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  604251	      1850 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  596804	      1837 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  609709	      1892 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  568018	      1860 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  583898	      1882 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  573595	      1872 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  597596	      1920 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  609721	      1993 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  602029	      1760 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  611792	      1799 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  589360	      1840 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  613222	      1848 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  605228	      1870 ns/op	     672 B/op	       8 allocs/op
PASS
ok  	github.com/komuw/ong/internal/acme	131.654s
