goos: linux
goarch: amd64
pkg: github.com/komuw/ong/internal/acme
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkGetCertificate/new-8         	  442214	      2325 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  473959	      2312 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  479990	      2324 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  456840	      2329 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  457227	      2319 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  482395	      2393 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  468800	      2430 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  432195	      2628 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  423027	      2476 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  432339	      2748 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  451255	      2716 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  416293	      2556 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  455280	      2881 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  457269	      2732 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  452869	      2697 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  437726	      2439 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  446908	      2318 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  450392	      2282 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  455180	      2227 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  464733	      2227 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  451486	      2324 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  467157	      2216 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  500982	      2233 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  550347	      2314 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  526039	      2322 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  475492	      2345 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  444404	      2312 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  466143	      2311 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  473917	      2305 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  489630	      2307 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  493140	      2615 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  491661	      2317 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  492282	      2307 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  465986	      2308 ns/op	     720 B/op	       9 allocs/op
PASS
ok  	github.com/komuw/ong/internal/acme	135.653s
